Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-6707.038	-6741.395	34.35664	22.15917	4.776003
10	-6698.733	-6726.855	28.12198	21.11835	5.059048
20	-6701.273	-6734.287	33.01363	18.84399	4.750896
30	-6702.485	-6729.941	27.4566	17.677	4.983436
40	-6692.71	-6726.108	33.3977	22.98548	4.818825
50	-6706.212	-6729.985	23.77261	22.98548	5.237572
60	-6708.11	-6737.321	29.21085	22.65057	5.004654
70	-6715.685	-6743.844	28.15913	20.67715	5.054085
80	-6702.167	-6734.973	32.80625	23.85744	4.83654
90	-6698.537	-6724.713	26.17581	22.82643	5.135805
100	-6703.404	-6739.631	36.22661	22.83102	4.695501
110	-6697.702	-6728.537	30.83434	20.19993	4.915153
120	-6688.639	-6723.162	34.52357	22.5667	4.769999
130	-6704.983	-6728.557	23.5746	19.82912	5.271339
140	-6699.937	-6731.609	31.67146	23.03049	4.89357
150	-6725.945	-6744.868	18.92303	24.60978	5.389264
160	-6692.36	-6723.051	30.69118	25.77825	4.882741
170	-6681.577	-6718.324	36.74694	22.86293	4.672813
180	-6688.888	-6720.973	32.08499	20.53797	4.861379
190	-6696.483	-6724.524	28.04114	16.80906	4.877852
200	-6691.52	-6729.797	38.27763	23.12033	4.607076
210	-6685.752	-6721.402	35.65013	21.57137	4.710799
220	-6707.408	-6734.921	27.51217	21.07853	5.087796
230	-6693.311	-6728.203	34.89219	21.84364	4.749172
240	-6698.676	-6726.344	27.66741	22.96772	5.068396
250	-6704.174	-6729.435	25.26137	20.89575	5.194668
260	-6704.462	-6732.338	27.87585	17.676	4.959648
270	-6692.428	-6724.303	31.87455	23.94109	4.874378
280	-6698.317	-6737.049	38.73134	25.43798	4.575634
290	-6696.874	-6733.501	36.62723	22.27701	4.674659
300	-6683.803	-6718.377	34.5743	20.99285	4.751046
310	-6709.018	-6734.868	25.84945	22.99653	5.14701
320	-6683.433	-6718.683	35.25031	21.27306	4.724487
330	-6698.934	-6736.579	37.64497	25.98564	4.609419
340	-6705.19	-6729.962	24.77221	27.39438	5.049774
350	-6698.494	-6734.022	35.52805	21.23361	4.710678
