Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
102	0	-6696.056	-6733.903	37.84738	24.01334	4.624561
103	1	-6692.644	-6723.057	30.41315	18.70504	4.881988
104	0	-6691.961	-6720.695	28.73366	18.34558	4.953589
105	1	-6699.147	-6733.802	34.65425	26.22251	4.71913
106	0	-6700.968	-6735.334	34.36622	26.38591	4.726187
107	1	-6713.022	-6742.447	29.42482	19.56719	4.968807
108	0	-6693.492	-6729.667	36.17589	22.9697	4.697945
109	1	-6689.551	-6720.48	30.9283	22.60509	4.929102
110	0	-6704.502	-6734.883	30.38169	24.59522	4.923964
111	1	-6688.557	-6722.578	34.02175	21.2753	4.782274
112	0	-6699.738	-6734.652	34.91438	24.79939	4.736674
113	1	-6704.468	-6733.309	28.84087	22.70725	5.020394
114	0	-6712.318	-6745.423	33.10532	24.30058	4.817968
115	1	-6698.226	-6729.429	31.20296	22.40716	4.9178
116	0	-6699.526	-6732.911	33.38561	23.6723	4.814268
117	1	-6704.856	-6740.287	35.43122	22.32012	4.728616
118	0	-6705.606	-6739.511	33.90501	23.54856	4.79341
119	1	-6709.812	-6738.262	28.44965	22.36111	5.041073
120	0	-6711.372	-6737.96	26.58786	21.03567	5.131576
121	1	-6704.652	-6730.086	25.43421	20.12222	5.181628
122	0	-6698.498	-6728.333	29.83482	17.97204	4.87009
123	1	-6698.712	-6733.713	35.00136	21.23098	4.735434
124	0	-6688.883	-6722.273	33.3902	20.33152	4.792426
125	1	-6704.038	-6737.985	33.94769	20.97206	4.780494
126	0	-6698.996	-6731.384	32.38798	21.0272	4.855721
127	1	-6706.599	-6739.867	33.26718	20.66463	4.806768
128	0	-6694.722	-6726.558	31.83536	23.12073	4.885714
129	1	-6690.671	-6718.522	27.85126	24.14363	5.037878
130	0	-6711.962	-6745.226	33.26412	22.51228	4.825839
131	1	-6691.008	-6724.791	33.78336	21.6997	4.798672
132	0	-6694.957	-6727.134	32.17775	23.62807	4.86583
133	1	-6705.353	-6732.973	27.62082	22.95626	5.0706
134	0	-6701.828	-6731.977	30.14964	20.98722	4.961757
135	1	-6698.127	-6727.717	29.59081	21.62876	4.991801
136	0	-6708.144	-6737.968	29.82314	25.58938	4.921704
137	1	-6703.109	-6730.448	27.33876	19.68283	5.078252
138	0	-6694.132	-6729.767	35.63471	24.62572	4.70999
139	1	-6698.081	-6729.683	31.60167	22.60812	4.8993
140	0	-6702.598	-6737.896	35.29847	23.80477	4.732498
141	1	-6704.869	-6734.581	29.71159	23.34784	4.974515
142	0	-6705.31	-6733.914	28.60353	21.05376	5.03587
143	1	-6714.152	-6737.741	23.58932	20.87742	5.274743
144	0	-6695.047	-6725.075	30.02814	22.59516	4.968997
145	1	-6705.013	-6733.461	28.4486	28.37076	4.879007
146	0	-6696.005	-6726.103	30.09869	23.31267	4.958409
147	1	-6690.93	-6727.196	36.26619	23.45526	4.69348
148	0	-6689.068	-6731.087	42.0188	25.19062	4.448192
149	1	-6687.811	-6726.054	38.24314	22.99828	4.60808
150	0	-6706.177	-6734.305	28.12765	20.52613	5.053919
151	1	-6702.184	-6733.957	31.77333	28.31387	4.763777
152	0	-6686.83	-6721.032	34.20214	22.44919	4.784053
153	1	-6696.758	-6727.824	31.0656	22.49619	4.923571
154	0	-6694.62	-6721.196	26.5763	17.54698	5.024471
155	1	-6693.741	-6725.288	31.54642	21.87453	4.902437
156	0	-6699.287	-6734.742	35.45519	23.50999	4.727786
157	1	-6691.496	-6728.807	37.31118	22.18571	4.642974
158	0	-6690.54	-6717.782	27.24147	22.5735	5.092605
159	1	-6688.788	-6725.798	37.0101	22.75217	4.660849
160	0	-6698.164	-6731.564	33.40022	26.40385	4.762334
161	1	-6703.517	-6736.009	32.49201	19.38567	4.804659
162	0	-6695.864	-6728.57	32.70684	20.5511	4.831401
163	1	-6699.934	-6731.485	31.55096	21.54024	4.900623
164	0	-6689.421	-6720.077	30.65641	20.7528	4.934482
165	1	-6698.828	-6731.344	32.51579	22.42033	4.8592
166	0	-6688.784	-6724.42	35.63593	22.04818	4.717295
167	1	-6702.732	-6734.998	32.26622	19.99212	4.838251
168	0	-6686.484	-6724.973	38.48914	23.05106	4.597637
169	1	-6698.329	-6733.305	34.97587	18.41333	4.618244
170	0	-6697.426	-6736.779	39.35267	23.11734	4.560562
171	1	-6697.13	-6729.845	32.71452	21.54163	4.846618
172	0	-6689.591	-6725.865	36.27409	23.1354	4.693728
173	1	-6699.771	-6729.996	30.2251	19.49262	4.92539
174	0	-6703.543	-6736.374	32.83097	23.25511	4.841673
175	1	-6700.389	-6737.034	36.64467	25.07971	4.663148
176	0	-6696.636	-6734.037	37.4008	26.47852	4.609304
177	1	-6701.473	-6734.338	32.86448	22.43211	4.843645
178	0	-6701.005	-6733.958	32.95349	19.07121	4.76608
179	1	-6710.987	-6739.685	28.69824	19.3049	4.997678
180	0	-6712.087	-6743.405	31.31753	24.02623	4.896277
181	1	-6712.928	-6742.681	29.75295	23.61004	4.968747
182	0	-6709.139	-6737.196	28.05694	22.88988	5.052536
183	1	-6707.156	-6740.62	33.46366	22.90354	4.816281
184	0	-6691.502	-6726.531	35.02897	23.98831	4.742173
185	1	-6693.857	-6729.094	35.23673	24.4314	4.728691
186	0	-6690.561	-6733.843	43.28255	23.97523	4.398045
187	1	-6697.861	-6734.133	36.27229	22.62049	4.692767
188	0	-6702.982	-6736.109	33.12647	22.89949	4.831021
189	1	-6695.179	-6726.938	31.75953	21.62924	4.891534
190	0	-6699.311	-6731.529	32.218	21.73514	4.871025
191	1	-6688.909	-6722.206	33.2972	22.19341	4.823924
192	0	-6694.031	-6732.645	38.61361	27.36678	4.545132
193	1	-6709.861	-6730.046	20.18558	15.23424	5.188742
