Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1080	-6700.624	-6728.865	28.24082	23.16112	5.040558
1090	-6695.066	-6724.364	29.29767	23.72162	4.986087
1100	-6693.803	-6725.492	31.68853	25.20823	4.857875
1110	-6701.758	-6730.03	28.27195	25.1265	4.995697
1120	-6695.094	-6724.087	28.99322	24.61147	4.980029
1130	-6700.5	-6727.312	26.81205	21.11139	5.121066
1140	-6690.431	-6717.943	27.51185	21.86129	5.08695
1150	-6688.227	-6724.132	35.90506	23.8426	4.706756
1160	-6699.006	-6734.212	35.20621	23.46379	4.738627
1170	-6708.919	-6736.421	27.50244	25.08619	5.027488
1180	-6700.299	-6737.78	37.48098	24.45525	4.636623
1190	-6696.225	-6729.594	33.3686	24.23487	4.808085
1200	-6704.009	-6729.784	25.77496	20.29935	5.16667
1210	-6690.379	-6724.284	33.90511	23.04045	4.796544
1220	-6715.132	-6746.56	31.42772	22.04517	4.908156
1230	-6703.455	-6736.074	32.61965	25.02752	4.824708
1240	-6708.425	-6739.329	30.90354	21.50597	4.930489
1250	-6691.348	-6724.946	33.59759	22.5228	4.811029
1260	-6706.579	-6735.542	28.96385	20.64062	5.014716
1270	-6697.451	-6738.733	41.28232	26.90268	4.45595
1280	-6708.005	-6743.35	35.34465	24.24651	4.72642
1290	-6694.806	-6732.326	37.52068	25.51886	4.621996
1300	-6698.208	-6728.441	30.23306	21.37825	4.961018
1310	-6699.752	-6733.693	33.94087	21.75432	4.79194
1320	-6705.589	-6736.998	31.40891	21.59315	4.907542
1330	-6691.928	-6727.097	35.1684	22.27858	4.740154
1340	-6703.558	-6737.554	33.99597	23.12456	4.792247
1350	-6693.566	-6720.687	27.12094	23.25841	5.087151
1360	-6701.154	-6736.7	35.54596	20.74513	4.698671
1370	-6707.818	-6733.207	25.38934	19.0602	5.162381
1380	-6715.166	-6747.528	32.36272	23.06792	4.863294
1390	-6692.202	-6734.168	41.96628	23.80281	4.452386
1400	-6698.803	-6727.939	29.13651	20.09378	4.99704
1410	-6688.33	-6724.899	36.5685	22.02726	4.674758
1420	-6700.394	-6734.197	33.80338	21.37038	4.793903
1430	-6701.721	-6732.275	30.55339	20.07419	4.926039
1440	-6700.571	-6737.627	37.05584	26.90137	4.613082
1450	-6716.787	-6750.967	34.17919	21.58845	4.779192
1460	-6706.619	-6734.726	28.10654	21.79538	5.059998
1470	-6695.305	-6724.683	29.37845	20.18827	4.986991
1480	-6705.501	-6736.279	30.7775	18.33751	4.84169
1490	-6702.061	-6739.216	37.15445	21.31992	4.636013
1500	-6693.246	-6722.391	29.14535	21.71489	5.012404
1510	-6704.756	-6732.58	27.82434	20.8191	5.071476
1520	-6694.61	-6727.666	33.05612	21.00235	4.823528
1530	-6687.298	-6723.819	36.52086	24.69171	4.673227
1540	-6692.346	-6729.074	36.72769	23.91852	4.671808
1550	-6688.539	-6721.751	33.21154	20.90005	4.814281
1560	-6706.877	-6741.616	34.7389	21.59626	4.753367
1570	-6705.906	-6734.517	28.61034	20.99487	5.035156
1580	-6692.776	-6726.406	33.62958	24.15309	4.798422
1590	-6697.4	-6731.566	34.16615	22.36807	4.785449
1600	-6697.761	-6731.791	34.02979	21.94271	4.789433
1610	-6702.818	-6736.629	33.8119	23.38457	4.79864
1620	-6694.428	-6727.519	33.09112	23.70274	4.826379
1630	-6699.703	-6735.311	35.6079	23.92851	4.718543
1640	-6692.322	-6730.56	38.23768	25.61355	4.592517
