Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-4110.986	-4121.798	10.81226	20.74899	5.66384
10	-4105.256	-4117.955	12.69886	18.72588	5.577532
20	-4105.952	-4125.835	19.88279	20.47033	5.225919
30	-4108.218	-4118.459	10.24119	18.57	5.70751
40	-4092.003	-4111.903	19.90047	20.02808	5.221619
50	-4107.862	-4115.555	7.693148	18.97445	5.844191
60	-4083.018	-4102.204	19.18631	18.18545	5.210521
70	-4103.187	-4113.184	9.997289	19.48509	5.721549
80	-4111.06	-4126.182	15.12215	17.75302	5.418055
90	-4109.27	-4127.645	18.37478	22.55591	5.277132
100	-4102.921	-4114.308	11.38712	18.70198	5.647338
110	-4102.85	-4116.174	13.32449	18.5052	5.540233
120	-4115.402	-4131.51	16.10797	21.1852	5.404103
130	-4107.823	-4113.484	5.661016	16.34416	5.909531
140	-4117.324	-4121.853	4.528932	20.84618	5.963247
150	-4116.006	-4119.865	3.858953	18.75408	6.049271
160	-4114.568	-4120.093	5.524474	17.85341	5.959737
170	-4100.598	-4112.305	11.7065	21.12762	5.613147
180	-4104.449	-4118.441	13.99244	16.60775	5.419762
190	-4098.18	-4109.47	11.29011	20.41369	5.646564
200	-4120.992	-4130.358	9.365869	15.452	5.612023
210	-4108.359	-4123.138	14.7792	19.71968	5.477188
220	-4104.264	-4116.384	12.12023	21.16735	5.59272
230	-4128.808	-4134.197	5.388852	20.6768	5.92756
240	-4099.684	-4105.321	5.637323	18.80444	5.954078
250	-4087.616	-4102.42	14.80466	20.14626	5.475756
260	-4105.673	-4121.248	15.57513	20.39588	5.436741
270	-4114.904	-4125.197	10.29318	18.86017	5.706761
280	-4084.933	-4099.077	14.14343	19.35804	5.508044
290	-4106.716	-4117.264	10.54798	19.56109	5.692878
300	-4105.57	-4115.91	10.33957	18.49341	5.701402
310	-4092.927	-4102.104	9.177196	18.38769	5.763316
320	-4108.349	-4116.268	7.919246	19.66884	5.825804
330	-4106.624	-4113.13	6.505179	19.1564	5.905092
340	-4097.228	-4108.199	10.97151	20.60542	5.658891
350	-4093.896	-4111.205	17.30883	16.81406	5.23654
360	-4092.463	-4108.555	16.09274	20.80505	5.408887
370	-4092.891	-4104.06	11.16891	19.89807	5.658873
380	-4101.097	-4112.62	11.52377	17.78666	5.621764
390	-4105.81	-4118.315	12.50538	16.78216	5.520311
400	-4110.331	-4120.375	10.04474	20.68896	5.702127
410	-4092.328	-4109.653	17.32576	20.4989	5.350785
420	-4120.745	-4125.373	4.628223	19.96907	5.985738
430	-4099.014	-4104.301	5.286589	20.53849	5.936877
440	-4097.844	-4107.217	9.372747	17.91112	5.745396
450	-4096.497	-4109.089	12.59209	20.7853	5.577473
460	-4109.56	-4117.058	7.498152	21.42878	5.802474
470	-4094.854	-4111.993	17.139	18.43836	5.331986
480	-4097.683	-4108.037	10.35377	20.77779	5.685322
490	-4085.33	-4104.004	18.67428	19.77736	5.280372
500	-4096.534	-4111.251	14.717	21.44839	5.465236
510	-4088.841	-4101.751	12.90923	21.25561	5.553668
520	-4098.036	-4113.598	15.56181	18.93253	5.428757
530	-4103.055	-4107.911	4.855759	17.30205	5.989802
540	-4087.612	-4104.057	16.4447	20.29326	5.394307
550	-4089.891	-4103.7	13.80899	20.06503	5.525602
560	-4113.81	-4120.585	6.774467	18.06204	5.892066
570	-4094.676	-4108.443	13.76738	18.2474	5.510182
580	-4103.267	-4112.354	9.086811	21.76756	5.7175
590	-4106.645	-4118.091	11.44674	22.08532	5.599655
600	-4095.048	-4104.489	9.441319	18.92911	5.752033
610	-4106.338	-4116.714	10.37591	19.43025	5.702385
620	-4100.993	-4106.977	5.984287	17.24991	5.923318
630	-4091.415	-4109.537	18.12222	21.12909	5.309471
640	-4119.264	-4133.934	14.6707	19.44417	5.481443
650	-4104.451	-4118.67	14.21891	22.41886	5.465269
660	-4095.833	-4107.501	11.66892	20.47483	5.627109
670	-4116.157	-4124.911	8.75439	19.33549	5.786602
680	-4100.34	-4112.046	11.7062	20.80989	5.619637
690	-4093.722	-4109.08	15.35832	19.39338	5.445626
700	-4099.001	-4114.803	15.80102	22.29947	5.397594
710	-4105.13	-4113.69	8.559455	18.31361	5.79626
720	-4098.093	-4112.059	13.9662	21.97056	5.488479
730	-4108.586	-4121.609	13.02284	18.50264	5.556485
740	-4096.965	-4103.92	6.955025	16.56819	5.84167
750	-4083.951	-4100.607	16.65546	24.28576	5.301616
760	-4093.36	-4105.292	11.93167	17.919	5.60275
770	-4099.337	-4112.902	13.56513	18.57957	5.528698
780	-4082.484	-4097.956	15.47177	19.4162	5.439991
790	-4097.82	-4109.35	11.53058	20.64236	5.631127
800	-4094.267	-4110.64	16.37234	18.47547	5.374668
810	-4101.795	-4112.788	10.99273	19.16276	5.670842
820	-4115.14	-4124.308	9.168479	18.97576	5.766436
830	-4116.647	-4125.079	8.432368	17.14154	5.77767
840	-4103.635	-4114.075	10.43948	18.06483	5.68921
850	-4105.244	-4118.831	13.58757	20.71683	5.530518
860	-4107.495	-4120.977	13.48201	20.00631	5.542197
870	-4109.054	-4121.293	12.23869	19.00008	5.604827
880	-4098.844	-4113.848	15.00386	21.29303	5.454519
890	-4097.601	-4110.008	12.40755	18.52312	5.590087
900	-4118.945	-4118.632	-0.3130513	19.38937	6.253834
910	-4099.205	-4119.009	19.80374	20.1239	5.227411
920	-4108.794	-4122.339	13.54572	19.18868	5.537825
930	-4112.393	-4129.072	16.6793	21.03838	5.378702
940	-4104.352	-4112.877	8.525142	22.30442	5.723684
950	-4099.211	-4113.933	14.72247	18.48786	5.464271
960	-4100.62	-4110.333	9.713666	19.59599	5.735237
970	-4122.972	-4128.076	5.10395	16.56351	5.953205
980	-4104.811	-4119.325	14.51409	19.3363	5.488726
990	-4095.685	-4118.889	23.2045	19.97052	5.055515
1000	-4107.465	-4118.198	10.73261	19.18343	5.684426
1010	-4113.589	-4125.003	11.41423	21.17995	5.625782
1020	-4108.777	-4121.933	13.1563	18.78241	5.553923
1030	-4121.192	-4132.894	11.70241	21.12406	5.613419
1040	-4109.13	-4118.338	9.208008	17.69166	5.749715
1050	-4094.532	-4113.03	18.49826	22.28923	5.276826
1060	-4098.495	-4111.749	13.25434	20.79946	5.5454
1070	-4100.105	-4115.952	15.84638	20.14403	5.424049
1080	-4093.032	-4101.963	8.93092	19.64772	5.774612
1090	-4086.509	-4106.019	19.51027	21.47113	5.24157
1100	-4099.616	-4111.865	12.24902	20.54852	5.597738
1110	-4115.484	-4127.161	11.6767	15.63651	5.481439
1120	-4107.513	-4123.374	15.86107	21.37694	5.413014
1130	-4121.232	-4128.196	6.963814	20.92017	5.844197
1140	-4108.547	-4117.104	8.557385	23.27355	5.682141
1150	-4095.68	-4112.852	17.17198	22.92801	5.321344
1160	-4111.165	-4118.62	7.454504	18.23888	5.856078
1170	-4103.175	-4113.615	10.44053	23.28891	5.600602
1180	-4091.841	-4109.203	17.36242	20.4252	5.349092
1190	-4109.521	-4115.901	6.379901	16.6462	5.879793
1200	-4106.07	-4116.89	10.8193	18.27896	5.672288
1210	-4097.428	-4108.972	11.54443	19.50069	5.642111
1220	-4096.365	-4115.335	18.97023	18.93209	5.248715
1230	-4091.544	-4118.932	27.38793	22.69199	4.877044
1240	-4087.649	-4103.654	16.00563	20.61088	5.414546
1250	-4103.845	-4115.795	11.95013	20.9133	5.60598
1260	-4095.578	-4109.312	13.73334	17.77087	5.496953
