Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
102	0	-4105.883	-4110.593	4.709331	17.59273	6.002866
103	1	-4088.841	-4101.751	12.90923	21.25561	5.553668
104	0	-4094.99	-4105.955	10.96497	19.05821	5.672067
105	1	-4098.036	-4113.598	15.56181	18.93253	5.428757
106	0	-4094.86	-4112.059	17.19915	23.60274	5.301211
107	1	-4103.055	-4107.911	4.855759	17.30205	5.989802
108	0	-4105.064	-4114.213	9.14935	17.37045	5.743917
109	1	-4087.612	-4104.057	16.4447	20.29326	5.394307
110	0	-4101.981	-4111.86	9.878417	17.63443	5.710245
111	1	-4089.891	-4103.7	13.80899	20.06503	5.525602
112	0	-4090.863	-4107.548	16.68506	19.5134	5.378638
113	1	-4113.81	-4120.585	6.774467	18.06204	5.892066
114	0	-4099.956	-4112.244	12.28771	17.94507	5.583635
115	1	-4094.676	-4108.443	13.76738	18.2474	5.510182
116	0	-4084.045	-4103.263	19.21764	20.71087	5.258756
117	1	-4103.267	-4112.354	9.086811	21.76756	5.7175
118	0	-4104.64	-4118.787	14.14723	18.69262	5.499582
119	1	-4106.645	-4118.091	11.44674	22.08532	5.599655
120	0	-4089.504	-4107.535	18.03178	21.54768	5.309517
121	1	-4095.048	-4104.489	9.441319	18.92911	5.752033
122	0	-4107.375	-4118.897	11.52205	19.07694	5.642919
123	1	-4106.338	-4116.714	10.37591	19.43025	5.702385
124	0	-4106.606	-4119.333	12.72716	19.71176	5.581269
125	1	-4100.993	-4106.977	5.984287	17.24991	5.923318
126	0	-4094.905	-4110.321	15.41676	20.81728	5.441254
127	1	-4091.415	-4109.537	18.12222	21.12909	5.309471
128	0	-4101.446	-4117.617	16.17183	19.43027	5.404091
129	1	-4119.264	-4133.934	14.6707	19.44417	5.481443
130	0	-4111.84	-4118.025	6.185436	21.78721	5.850011
131	1	-4104.451	-4118.67	14.21891	22.41886	5.465269
132	0	-4100.502	-4111.511	11.00869	17.92327	5.654366
133	1	-4095.833	-4107.501	11.66892	20.47483	5.627109
134	0	-4094.323	-4099.168	4.844737	18.76261	5.996628
135	1	-4116.157	-4124.911	8.75439	19.33549	5.786602
136	0	-4101.147	-4110.455	9.307914	17.33221	5.733514
137	1	-4100.34	-4112.046	11.7062	20.80989	5.619637
138	0	-4089.834	-4105.199	15.3644	18.29301	5.424063
139	1	-4093.722	-4109.08	15.35832	19.39338	5.445626
140	0	-4119.414	-4123.268	3.853207	17.0785	6.043481
141	1	-4099.001	-4114.803	15.80102	22.29947	5.397594
142	0	-4098.546	-4108.311	9.765551	20.8418	5.712147
143	1	-4105.13	-4113.69	8.559455	18.31361	5.79626
144	0	-4103.66	-4126.63	22.97004	20.50454	5.075504
145	1	-4098.093	-4112.059	13.9662	21.97056	5.488479
146	0	-4099.249	-4112.221	12.97151	19.19764	5.567806
147	1	-4108.586	-4121.609	13.02284	18.50264	5.556485
148	0	-4082.533	-4102.714	20.18116	18.40274	5.16551
149	1	-4096.965	-4103.92	6.955025	16.56819	5.84167
150	0	-4101.789	-4104.818	3.028917	23.13163	5.92735
151	1	-4083.951	-4100.607	16.65546	24.28576	5.301616
152	0	-4095.332	-4108.918	13.58586	18.17171	5.518108
153	1	-4093.36	-4105.292	11.93167	17.919	5.60275
154	0	-4119.836	-4134.633	14.79715	19.0911	5.471426
155	1	-4099.337	-4112.902	13.56513	18.57957	5.528698
156	0	-4091.705	-4111.543	19.83804	17.69947	5.149323
157	1	-4082.484	-4097.956	15.47177	19.4162	5.439991
158	0	-4100.911	-4121.921	21.00973	21.8293	5.169236
159	1	-4097.82	-4109.35	11.53058	20.64236	5.631127
160	0	-4092.996	-4106.703	13.70772	20.56204	5.526599
161	1	-4094.267	-4110.64	16.37234	18.47547	5.374668
162	0	-4086.318	-4108.727	22.40959	22.41753	5.099937
163	1	-4101.795	-4112.788	10.99273	19.16276	5.670842
164	0	-4102.276	-4118.666	16.3897	21.83625	5.380751
165	1	-4115.14	-4124.308	9.168479	18.97576	5.766436
166	0	-4101.173	-4119.577	18.40382	22.97101	5.266599
167	1	-4116.647	-4125.079	8.432368	17.14154	5.77767
168	0	-4091.624	-4106.419	14.79473	22.28697	5.443042
169	1	-4103.635	-4114.075	10.43948	18.06483	5.68921
170	0	-4095.772	-4105.889	10.11684	16.92213	5.669608
171	1	-4105.244	-4118.831	13.58757	20.71683	5.530518
172	0	-4114.171	-4126.977	12.80552	20.33309	5.573224
173	1	-4107.495	-4120.977	13.48201	20.00631	5.542197
174	0	-4111.113	-4125.838	14.72509	22.50304	5.440403
175	1	-4109.054	-4121.293	12.23869	19.00008	5.604827
176	0	-4101.383	-4114.583	13.19992	19.13863	5.555478
177	1	-4098.844	-4113.848	15.00386	21.29303	5.454519
178	0	-4101.995	-4116.082	14.08649	20.11505	5.511556
179	1	-4097.601	-4110.008	12.40755	18.52312	5.590087
180	0	-4111.447	-4122.137	10.68955	20.48981	5.67468
181	1	-4118.945	-4118.632	-0.3130513	19.38937	6.253834
182	0	-4109.17	-4117.176	8.006431	20.82932	5.796894
183	1	-4099.205	-4119.009	19.80374	20.1239	5.227411
184	0	-4101.729	-4108.314	6.585232	18.59291	5.904356
185	1	-4108.794	-4122.339	13.54572	19.18868	5.537825
186	0	-4105.196	-4110.826	5.629608	17.24785	5.943831
187	1	-4112.393	-4129.072	16.6793	21.03838	5.378702
188	0	-4102.507	-4116.788	14.28145	18.41713	5.486452
189	1	-4104.352	-4112.877	8.525142	22.30442	5.723684
190	0	-4109.618	-4122.862	13.24332	23.28071	5.480545
191	1	-4099.211	-4113.933	14.72247	18.48786	5.464271
192	0	-4104.403	-4111.48	7.077243	18.58763	5.877893
193	1	-4100.62	-4110.333	9.713666	19.59599	5.735237
194	0	-4115.371	-4121.143	5.772016	20.2227	5.922122
195	1	-4122.972	-4128.076	5.10395	16.56351	5.953205
196	0	-4093.576	-4106.945	13.36869	17.86137	5.520639
197	1	-4104.811	-4119.325	14.51409	19.3363	5.488726
198	0	-4101.698	-4108.665	6.967434	14.27717	5.632398
199	1	-4095.685	-4118.889	23.2045	19.97052	5.055515
200	0	-4116.845	-4128.106	11.26148	18.36523	5.649598
201	1	-4107.465	-4118.198	10.73261	19.18343	5.684426
202	0	-4096.803	-4109.685	12.88156	18.84095	5.569291
203	1	-4113.589	-4125.003	11.41423	21.17995	5.625782
204	0	-4096.101	-4111.158	15.0564	21.20298	5.45347
205	1	-4108.777	-4121.933	13.1563	18.78241	5.553923
206	0	-4106.128	-4118.749	12.62123	21.54195	5.560751
207	1	-4121.192	-4132.894	11.70241	21.12406	5.613419
208	0	-4101.287	-4113.666	12.37903	19.80786	5.59854
209	1	-4109.13	-4118.338	9.208008	17.69166	5.749715
210	0	-4101.014	-4116.664	15.65031	29.16032	5.125246
211	1	-4094.532	-4113.03	18.49826	22.28923	5.276826
212	0	-4109.315	-4116.819	7.504367	20.05108	5.840094
213	1	-4098.495	-4111.749	13.25434	20.79946	5.5454
214	0	-4095.204	-4108.015	12.81151	18.72018	5.571436
215	1	-4100.105	-4115.952	15.84638	20.14403	5.424049
216	0	-4087.26	-4109.382	22.12126	20.93157	5.119704
217	1	-4093.032	-4101.963	8.93092	19.64772	5.774612
218	0	-4091.288	-4107.453	16.16475	21.78418	5.392032
219	1	-4086.509	-4106.019	19.51027	21.47113	5.24157
220	0	-4103.616	-4116.741	13.12465	19.85675	5.560742
221	1	-4099.616	-4111.865	12.24902	20.54852	5.597738
222	0	-4104.046	-4116.121	12.07514	18.2887	5.603785
223	1	-4115.484	-4127.161	11.6767	15.63651	5.481439
224	0	-4079.877	-4096.631	16.75408	19.83012	5.377805
225	1	-4107.513	-4123.374	15.86107	21.37694	5.413014
226	0	-4086.195	-4104.479	18.28397	21.50033	5.29836
227	1	-4121.232	-4128.196	6.963814	20.92017	5.844197
228	0	-4105.076	-4113.514	8.43761	16.40534	5.743233
229	1	-4108.547	-4117.104	8.557385	23.27355	5.682141
230	0	-4108.487	-4114.229	5.741661	18.97809	5.947002
231	1	-4095.68	-4112.852	17.17198	22.92801	5.321344
232	0	-4115.177	-4121.348	6.171075	18.75729	5.925967
233	1	-4111.165	-4118.62	7.454504	18.23888	5.856078
234	0	-4108.432	-4115.484	7.051501	19.64396	5.870329
235	1	-4103.175	-4113.615	10.44053	23.28891	5.600602
236	0	-4107.017	-4121.932	14.91487	19.53168	5.469466
237	1	-4091.841	-4109.203	17.36242	20.4252	5.349092
