Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1090	-4091.288	-4107.453	16.16475	21.78418	5.392032
1100	-4103.616	-4116.741	13.12465	19.85675	5.560742
1110	-4104.046	-4116.121	12.07514	18.2887	5.603785
1120	-4079.877	-4096.631	16.75408	19.83012	5.377805
1130	-4086.195	-4104.479	18.28397	21.50033	5.29836
1140	-4105.076	-4113.514	8.43761	16.40534	5.743233
1150	-4108.487	-4114.229	5.741661	18.97809	5.947002
1160	-4115.177	-4121.348	6.171075	18.75729	5.925967
1170	-4108.432	-4115.484	7.051501	19.64396	5.870329
1180	-4107.017	-4121.932	14.91487	19.53168	5.469466
1190	-4110.238	-4114.542	4.304806	16.10219	5.980894
1200	-4106.614	-4111.89	5.276166	19.66559	5.960252
1210	-4095.998	-4103.717	7.718671	18.20471	5.841294
1220	-4094.347	-4110.25	15.90287	20.58765	5.419682
1230	-4099.158	-4104.058	4.899842	19.4213	5.984386
1240	-4110.519	-4123.92	13.40131	21.43171	5.526933
1250	-4097.197	-4110.766	13.56905	22.44276	5.493557
1260	-4105.811	-4121.416	15.60465	19.82995	5.435768
1270	-4109.86	-4117.192	7.331967	20.50258	5.838219
1280	-4100.232	-4107.93	7.698379	18.58839	5.844478
1290	-4096.416	-4105.461	9.045256	23.85153	5.635366
1300	-4100.004	-4108.566	8.562178	20.6364	5.775073
1310	-4096.131	-4104.654	8.523086	17.48664	5.783317
1320	-4102.234	-4117.845	15.61127	19.67238	5.434747
1330	-4101.579	-4114.259	12.67972	21.46274	5.559891
1340	-4096.914	-4113.678	16.7644	20.09568	5.378385
1350	-4094.36	-4113.251	18.89031	22.62438	5.252908
1360	-4099.908	-4111.864	11.95625	18.69031	5.616765
1370	-4104.609	-4117.237	12.62779	20.38422	5.581384
1380	-4102.785	-4110.331	7.545386	18.38224	5.852032
1390	-4109.923	-4115.956	6.033706	17.02977	5.914346
1400	-4100.941	-4111.878	10.93759	18.3896	5.667607
1410	-4113.225	-4121.986	8.760742	18.95957	5.78795
1420	-4086.103	-4097.113	11.01037	19.11757	5.669842
1430	-4115.208	-4126.053	10.84472	19.75643	5.676426
1440	-4114.127	-4117.58	3.452694	18.0846	6.075946
1450	-4101.146	-4111.527	10.38108	17.71839	5.684161
1460	-4103.38	-4112.853	9.472658	16.59371	5.691137
1470	-4096.244	-4104.121	7.877407	17.92139	5.829042
1480	-4098.138	-4101.525	3.386415	17.73006	6.078993
1490	-4108.104	-4115.795	7.690955	16.06898	5.768424
1500	-4111.729	-4120.017	8.288024	20.7074	5.786569
1510	-4092.866	-4108.361	15.49507	20.21938	5.441331
1520	-4098.657	-4110.467	11.81007	22.37647	5.574095
1530	-4123.084	-4122.981	-0.102961	17.71418	6.275888
1540	-4104.226	-4115.529	11.30317	18.4067	5.648001
1550	-4094.319	-4102.735	8.41646	21.14884	5.768245
1560	-4106.597	-4112.701	6.103932	16.88213	5.905376
1570	-4108.804	-4123.471	14.66734	18.54703	5.468641
1580	-4102.443	-4118.643	16.19968	19.11332	5.39833
1590	-4081	-4097.872	16.87157	24.19775	5.295741
1600	-4099.806	-4113.353	13.5463	17.5299	5.497927
1610	-4096.456	-4108.979	12.52289	17.95709	5.57088
1620	-4099.009	-4108.876	9.866447	17.73422	5.713618
1630	-4117.029	-4121.832	4.802385	17.74478	5.999273
1640	-4101.4	-4125.762	24.3612	21.05006	5.013652
1650	-4095.42	-4112.784	17.36481	20.15909	5.348714
1660	-4100.903	-4115.76	14.85741	18.28276	5.451483
1670	-4099.354	-4110.31	10.95658	14.58569	5.401164
1680	-4101.27	-4112.241	10.97091	22.02269	5.623183
1690	-4102.009	-4110.527	8.518328	15.8171	5.698289
1700	-4098.858	-4104.329	5.470699	22.84229	5.835797
1710	-4090.563	-4108.571	18.00815	19.89635	5.315144
1720	-4098.515	-4116.852	18.33658	20.98213	5.300254
1730	-4102.116	-4117.464	15.34775	19.32503	5.445496
1740	-4092.379	-4109.179	16.80021	17.25255	5.296467
1750	-4097.767	-4114.8	17.03287	16.77379	5.24989
1760	-4098.534	-4115.42	16.88591	22.05745	5.353923
1770	-4103.121	-4111.518	8.397025	14.73995	5.596846
1780	-4096.251	-4107.405	11.15432	21.0077	5.641998
1790	-4101.868	-4111.442	9.573878	20.16562	5.73508
1800	-4096.582	-4107.558	10.97565	19.22796	5.671785
1810	-4110.112	-4123.298	13.18596	18.63234	5.550024
1820	-4098.251	-4112.176	13.92481	20.16421	5.519328
1830	-4090.79	-4108.841	18.05099	19.76191	5.311728
1840	-4094.585	-4112.581	17.9962	23.03047	5.282869
1850	-4077.742	-4094.888	17.14568	18.22557	5.324239
1860	-4099.118	-4115.729	16.61128	19.90535	5.385394
1870	-4092.431	-4105.056	12.62473	20.16598	5.583787
1880	-4101.935	-4114.764	12.82858	21.82051	5.544243
1890	-4113.926	-4122.292	8.366803	17.52871	5.793363
1900	-4122.205	-4126.013	3.808447	16.98664	6.044002
1910	-4126.615	-4131.34	4.724978	18.5344	6.004778
1920	-4122.914	-4128.798	5.884371	17.52607	5.934937
1930	-4112.905	-4118.835	5.93021	17.22925	5.92594
1940	-4115.273	-4126.038	10.7645	18.64513	5.680109
1950	-4116.972	-4123.885	6.913415	21.37379	5.83169
1960	-4086.866	-4096.353	9.487086	19.43796	5.748076
1970	-4104.963	-4119.355	14.39238	18.5267	5.483013
1980	-4093.778	-4114.959	21.18129	20.39013	5.161823
1990	-4106.515	-4114.237	7.722142	18.70137	5.843305
2000	-4100.737	-4110.555	9.817677	16.54903	5.667783
2010	-4092.448	-4103.861	11.41266	17.61751	5.622678
2020	-4079.105	-4095.417	16.31173	19.94026	5.400568
2030	-4093.389	-4109.082	15.69317	20.5878	5.429867
2040	-4103.218	-4112.944	9.725528	19.94468	5.730806
2050	-4105.336	-4114.222	8.886364	17.03039	5.746861
2060	-4112.569	-4121.063	8.493766	15.77447	5.696452
2070	-4089.883	-4104.276	14.39314	18.85337	5.489265
2080	-4093.217	-4103.37	10.1537	17.04976	5.673307
2090	-4091.535	-4106.3	14.76471	18.96639	5.471381
2100	-4088.212	-4101.746	13.53419	21.54946	5.518206
2110	-4099.35	-4110.637	11.28717	17.98147	5.640304
2120	-4085.042	-4098.527	13.48526	19.83685	5.542631
2130	-4089.486	-4097.358	7.871694	18.6325	5.835241
2140	-4092.606	-4104.616	12.0099	17.55729	5.586595
2150	-4091.18	-4105.791	14.61074	23.28558	5.421648
2160	-4097.603	-4106.636	9.033082	21.4909	5.728921
2170	-4109.562	-4114.278	4.716104	20.9257	5.951441
2180	-4096.265	-4102.132	5.866819	19.03936	5.939777
2190	-4090.692	-4108.866	18.17384	21.03262	5.307701
2200	-4099.982	-4111.009	11.02693	19.07991	5.668881
2210	-4105.687	-4120.4	14.71266	20.57875	5.477575
2220	-4123.684	-4130.608	6.924008	18.85285	5.885437
2230	-4099.299	-4109.493	10.1945	19.5432	5.711068
2240	-4100.634	-4111.669	11.03488	22.0938	5.618034
2250	-4107.394	-4117.098	9.703821	18.1598	5.731549
2260	-4100.524	-4115.129	14.60481	20.54277	5.483143
2270	-4091.948	-4111.345	19.39756	22.11537	5.239207
2280	-4102.831	-4115.726	12.89484	19.31379	5.57238
2290	-4093.813	-4110.035	16.22216	17.24774	5.329686
2300	-4100.994	-4114.366	13.37178	20.52294	5.543398
2310	-4113.002	-4120.428	7.42586	17.2867	5.840821
2320	-4093.12	-4109.127	16.00673	19.719	5.414935
2330	-4110.094	-4123.706	13.61154	21.11997	5.523114
2340	-4097.083	-4107.818	10.7351	19.30562	5.684218
2350	-4094.643	-4101.826	7.182358	18.56573	5.872226
2360	-4110.578	-4120.755	10.17641	22.81443	5.630863
2370	-4096.598	-4109.012	12.41392	21.49015	5.571624
2380	-4100.33	-4117.293	16.96318	19.87943	5.367568
2390	-4116.245	-4123.015	6.769631	17.02991	5.871137
2400	-4108.706	-4114.484	5.778083	16.01327	5.884136
2410	-4086.912	-4106.644	19.73222	16.97144	5.105365
2420	-4089.671	-4108.166	18.49563	20.57712	5.293746
2430	-4094.779	-4105.629	10.84936	15.85059	5.553842
2440	-4108.443	-4117.695	9.251762	18.05601	5.75481
2450	-4118.076	-4121.892	3.81601	19.89667	6.028439
2460	-4108.021	-4116.554	8.533806	20.05045	5.788764
2470	-4100.82	-4109.013	8.192996	18.0017	5.812681
2480	-4107.23	-4123.94	16.70987	19.0738	5.370919
2490	-4100.507	-4112.433	11.92641	17.07287	5.570491
2500	-4107.623	-4120	12.37675	19.37168	5.599333
2510	-4096.543	-4114.196	17.65332	22.10481	5.318271
2520	-4108.042	-4118.479	10.43783	18.97165	5.699531
2530	-4089.374	-4102.176	12.80169	18.70282	5.571712
2540	-4094.198	-4115.124	20.92554	20.13413	5.171789
2550	-4113.804	-4120.35	6.546064	19.98528	5.889346
2560	-4113.546	-4119.572	6.02654	22.02703	5.847516
2570	-4097.129	-4114.066	16.9376	20.10786	5.369798
2580	-4095.199	-4115.348	20.14935	19.4695	5.20021
2590	-4096.765	-4116.936	20.17083	21.86149	5.20732
2600	-4093.318	-4112.18	18.86133	18.71728	5.248174
2610	-4099.997	-4117.167	17.17014	22.41374	5.333741
2620	-4101.974	-4112.495	10.52092	19.92802	5.691112
2630	-4106.922	-4120.24	13.31721	21.71993	5.52431
2640	-4100.236	-4116.236	16.00045	16.84182	5.316334
2650	-4096.592	-4111.412	14.82	22.22276	5.443539
2660	-4100.479	-4111.144	10.66521	21.90236	5.640866
2670	-4097.111	-4113.316	16.20508	18.21708	5.375556
2680	-4096.535	-4108.409	11.87376	17.48947	5.591812
2690	-4107.253	-4118.026	10.7731	18.8016	5.680943
2700	-4107.421	-4119.47	12.04896	20.35031	5.610216
2710	-4112.89	-4127.339	14.44958	22.1804	5.461297
2720	-4096.73	-4108.373	11.64344	21.68275	5.60239
2730	-4108.586	-4116.819	8.233738	17.15665	5.789786
2740	-4110.617	-4119.13	8.512802	19.84954	5.793108
2750	-4086.3	-4105.953	19.65342	20.79776	5.237744
2760	-4094.092	-4105.787	11.6955	20.15995	5.629934
2770	-4101.138	-4111.663	10.52484	20.46966	5.683078
2780	-4095.031	-4105.973	10.9424	17.37442	5.640845
2790	-4108.567	-4119.047	10.47929	16.55367	5.628084
2800	-4109.403	-4124.172	14.76956	17.76542	5.438422
2810	-4109.38	-4115.702	6.321296	20.92203	5.87485
2820	-4106.946	-4117.68	10.73437	21.5926	5.646913
2830	-4095.131	-4116.801	21.66951	20.21524	5.135907
2840	-4102.108	-4114.49	12.38122	20.56801	5.591025
2850	-4091.929	-4107.831	15.90194	22.6489	5.384352
2860	-4111.186	-4130.887	19.70111	19.18655	5.21699
2870	-4086.06	-4099.858	13.79859	21.16799	5.513419
2880	-4092.653	-4103.232	10.5788	20.16987	5.685187
2890	-4100.024	-4110.103	10.07856	22.20273	5.657593
2900	-4093.419	-4108.724	15.30528	20.37838	5.450063
