Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
55	1	-6692.723	-6716.866	24.14266	87411.88	25.0308	0.995704	0.998899	1.00109	1.0043	4.515203
56	0	-6641.152	-6670.232	29.0806	1.861894	22.53191	0.276212	0.639475	1.06612	2.0182	4.291525
57	1	-6700.119	-6714.659	14.53947	76619.01	22.61029	0.995412	0.998823	1.00117	1.0046	4.93643
58	0	-6653.056	-6677.825	24.76886	1.747332	23.30897	0.261128	0.625141	1.06216	2.05157	4.491144
59	1	-6683.599	-6707.383	23.78429	23713.12	25.92735	0.991758	0.99788	1.0021	1.00827	4.519352
60	0	-6648.042	-6674.841	26.79928	2.511963	24.0919	0.347588	0.700341	1.07876	1.87331	4.409372
61	1	-6688.642	-6712.928	24.28653	73522.55	21.45867	0.995316	0.998799	1.00119	1.00469	4.482578
62	0	-6623.32	-6669.241	45.92042	1.455642	27.15293	0.218388	0.581003	1.04771	2.1529	3.68331
63	1	-6689.08	-6708.388	19.30805	55924.16	24.07481	0.99463	0.998622	1.00137	1.00538	4.720479
64	0	-6609.407	-6668.072	58.66564	1.197056	32.4804	0.174519	0.528908	1.02627	2.2703	3.277242
65	1	-6697.166	-6715.169	18.00298	45689.47	21.93626	0.99406	0.998475	1.00151	1.00595	4.780467
66	0	-6632.122	-6680.196	48.07426	1.647242	30.35465	0.247198	0.611361	1.05801	2.08343	3.617699
67	1	-6683.239	-6710.215	26.97604	80123.85	20.96061	0.995513	0.998849	1.00114	1.00449	4.338928
68	0	-6641.456	-6684.806	43.35026	1.232934	30.8185	0.180971	0.53709	1.02996	2.25198	3.76913
69	1	-6684.05	-6704.679	20.6292	39094.82	21.7859	0.993579	0.998351	1.00163	1.00644	4.658619
70	0	-6629.329	-6669.767	40.43748	1.314682	27.47609	0.195224	0.554493	1.03739	2.21289	3.885848
71	1	-6678.928	-6701.49	22.56195	38186.93	25.59841	0.993503	0.998331	1.00165	1.00651	4.571384
72	0	-6641.56	-6675.791	34.23072	1.500341	25.71383	0.225375	0.588613	1.05044	2.13557	4.115943
73	1	-6689.09	-6709.076	19.98578	26865.62	26.52863	0.992256	0.998009	1.00197	1.00777	4.653227
74	0	-6648.154	-6680.956	32.80189	2.194446	24.0191	0.315431	0.674216	1.07417	1.93618	4.159196
75	1	-6686.141	-6706.056	19.91498	19537.84	24.00102	0.990921	0.997663	1.00231	1.00911	4.695866
76	0	-6659.755	-6694.731	34.97594	2.181404	25.56252	0.314008	0.673014	1.07393	1.93905	4.086248
77	1	-6682.136	-6701.353	19.21647	25674.96	22.53165	0.992078	0.997963	1.00202	1.00794	4.72931
78	0	-6628.596	-6669.253	40.6562	1.493234	23.69026	0.224275	0.587426	1.05002	2.13828	3.822408
79	1	-6687.986	-6705.651	17.66461	39525.86	20.41447	0.993614	0.99836	1.00163	1.0064	4.770338
80	0	-6664.808	-6686.561	21.75302	2.701756	24.95815	0.364787	0.713553	1.08059	1.84107	4.611514
81	1	-6678.669	-6702.706	24.03708	15958.11	22.64362	0.989956	0.997412	1.00255	1.01008	4.516782
82	0	-6646.675	-6680.996	34.32053	2.016102	25.80235	0.295189	0.656715	1.07039	1.97771	4.112706
83	1	-6683.957	-6709.811	25.85447	1121.941	23.54385	0.96231	0.990054	1.00944	1.0382	4.446356
84	0	-6638.616	-6677.521	38.90445	2.45319	26.84058	0.341973	0.695918	1.07808	1.88403	3.941185
85	1	-6653.654	-6685.48	31.82642	2.498598	24.0185	0.346324	0.69935	1.07861	1.87571	4.1998
86	0	-6633.179	-6680.764	47.58446	1.821207	27.12093	0.270956	0.634547	1.0648	2.0297	3.621623
87	1	-6646.807	-6675.652	28.84545	2.199057	23.82316	0.315932	0.674639	1.07426	1.93517	4.322272
88	0	-6641.249	-6678.158	36.90964	2.187012	31.96761	0.314621	0.673533	1.07403	1.93781	3.957331
89	1	-6654.89	-6677.547	22.65681	2.800509	24.26163	0.373215	0.719848	1.08134	1.8256	4.580566
90	0	-6638.076	-6676.737	38.66057	3.070415	26.46824	0.394637	0.735354	1.08284	1.78717	3.949016
91	1	-6649.336	-6678.091	28.75505	1.671603	23.06374	0.250656	0.614833	1.05909	2.07542	4.31637
92	0	-6633.78	-6681.233	47.45377	1.272237	25.55379	0.1879	0.545663	1.03369	2.23275	3.597906
93	1	-6644.835	-6677.789	32.95439	2.179276	21.12918	0.313775	0.672817	1.07389	1.93952	4.062612
94	0	-6637.901	-6673.681	35.78023	2.146095	29.46152	0.310112	0.669701	1.07325	1.94694	4.036178
95	1	-6649.905	-6685.852	35.94754	2.263598	28.39176	0.322833	0.680405	1.07538	1.92139	4.042693
96	0	-6636.955	-6672.417	35.4623	1.926706	29.81308	0.284366	0.646986	1.06804	2.00061	4.04185
