Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
570	-6662.539	-6705.455	42.91554	1.543219	25.66556	0.231922	0.595596	1.05286	2.11962	3.777403
580	-6634.625	-6683.282	48.6573	1.233244	32.59943	0.181026	0.53716	1.02999	2.25183	3.584234
590	-6644.338	-6683.564	39.22523	1.906906	23.37894	0.281903	0.644735	1.06748	2.00589	3.873241
600	-6685.711	-6701.896	16.1852	2.385925	22.5905	0.335367	0.690641	1.07721	1.89678	4.863699
610	-6665.198	-6690.153	24.95551	2.188165	24.22857	0.314747	0.673639	1.07406	1.93756	4.485854
620	-6657.66	-6686.833	29.17258	2.178763	25.57408	0.313719	0.67277	1.07388	1.93963	4.313232
630	-6666.409	-6696.883	30.47414	2.091561	27.38414	0.303965	0.66441	1.07212	1.9595	4.24957
640	-6641.197	-6683.23	42.03266	2.353853	26.47118	0.332148	0.68804	1.07676	1.90305	3.821642
650	-6645.099	-6686.243	41.14449	1.911042	27.81935	0.282419	0.645208	1.0676	2.00478	3.86045
660	-6653.783	-6688.188	34.40458	2.106872	26.49709	0.305707	0.665917	1.07245	1.95593	4.109765
670	-6657.95	-6687.244	29.2936	2.284421	25.06993	0.325016	0.682209	1.07571	1.91706	4.309422
680	-6656.053	-6691.748	35.69563	2.077863	26.51298	0.302395	0.663046	1.07182	1.96274	4.061042
690	-6654.222	-6680.958	26.73544	1.999052	27.01271	0.293162	0.654913	1.06997	1.98196	4.39203
700	-6654.998	-6688.994	33.9968	2.608983	31.70833	0.356552	0.707289	1.07976	1.8564	4.054167
710	-6623.889	-6663.166	39.2771	1.595601	33.08519	0.23972	0.603733	1.05558	2.10097	3.862708
720	-6633.327	-6682.141	48.81396	2.138287	30.68286	0.309241	0.668957	1.07309	1.94871	3.592361
730	-6635.143	-6680.249	45.10627	1.339292	28.70875	0.199395	0.559421	1.0394	2.20178	3.720527
740	-6613.614	-6675.565	61.95088	1.024799	32.63313	0.141875	0.484081	1.00399	2.37005	3.17654
750	-6612.736	-6673.576	60.83943	0.9869189	35.46012	0.134336	0.472784	0.997798	2.39508	3.203446
760	-6634.226	-6688.637	54.41075	0.9617723	31.15702	0.129265	0.464952	0.993365	2.41242	3.410634
770	-6644.102	-6690.501	46.39814	1.334049	29.43201	0.198511	0.558382	1.03898	2.20412	3.675817
780	-6635.217	-6682.215	46.99812	1.400049	29.53415	0.209461	0.571028	1.04397	2.17554	3.655354
790	-6637.024	-6673.707	36.683	2.12923	31.25195	0.308228	0.668088	1.07291	1.95077	3.977919
800	-6633.478	-6673.632	40.15345	1.521123	29.66629	0.228567	0.592035	1.05164	2.12776	3.885907
