Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-6694.767	-6719.403	24.63608	25769.18	25.55303	0.992093	0.997966	1.00201	1.00793	4.490841
10	-6692.735	-6721.815	29.08016	27869.04	25.18189	0.992396	0.998045	1.00193	1.00762	4.317844
20	-6690.774	-6716.849	26.07551	81683.64	24.73325	0.995556	0.998861	1.00113	1.00445	4.439145
30	-6686.912	-6709.575	22.66249	29273.13	25.86928	0.992581	0.998093	1.00189	1.00744	4.563516
40	-6688.708	-6708.228	19.52056	72590.86	26.00035	0.995286	0.998791	1.0012	1.00472	4.682309
50	-6692.138	-6715.453	23.31464	43215.9	21.47007	0.993892	0.998432	1.00156	1.00612	4.528154
60	-6696.869	-6712.801	15.93196	50354.99	23.01522	0.994341	0.998548	1.00144	1.00567	4.872709
70	-6695.638	-6716.732	21.09358	47494.86	24.55428	0.994173	0.998504	1.00148	1.00584	4.642432
80	-6690.06	-6713.438	23.37813	29893.43	27.31974	0.992658	0.998113	1.00187	1.00736	4.51006
90	-6703.589	-6721.192	17.60303	46719.81	25.18202	0.994125	0.998492	1.0015	1.00589	4.773611
100	-6690.641	-6721.584	30.94316	79780.82	24.21224	0.995503	0.998847	1.00115	1.0045	4.238569
110	-6685.439	-6707.457	22.0186	61694.58	24.12492	0.994887	0.998688	1.0013	1.00512	4.607642
120	-6682.32	-6703.034	20.71415	22379.91	24.4735	0.991516	0.997817	1.00216	1.00851	4.658704
130	-6682.44	-6702.964	20.52318	5424.236	24.30833	0.982794	0.995539	1.00436	1.01731	4.668094
140	-6699.288	-6717.068	17.78018	25822.07	23.37001	0.992101	0.997969	1.00201	1.00792	4.790582
150	-6685.417	-6705.863	20.44581	68680.71	20.82754	0.995154	0.998757	1.00123	1.00485	4.646912
160	-6697.89	-6725.912	28.02212	81227.37	25.08916	0.995544	0.998857	1.00114	1.00446	4.360097
170	-6680.059	-6705.953	25.89383	37189.59	22.77839	0.993416	0.998309	1.00168	1.0066	4.436799
180	-6678.294	-6704.459	26.16515	90576.94	31.5647	0.99578	0.998918	1.00108	1.00423	4.305386
190	-6689.663	-6711.636	21.97319	94987.61	25.17483	0.995879	0.998944	1.00105	1.00413	4.600157
200	-6679.788	-6696.222	16.43413	79939.13	26.66973	0.995508	0.998848	1.00114	1.0045	4.783198
210	-6688.756	-6705.393	16.63683	42322.14	23.80658	0.993828	0.998415	1.00157	1.00619	4.834942
220	-6695.69	-6720.829	25.13904	38815.08	25.26175	0.993556	0.998345	1.00164	1.00646	4.473736
230	-6696.391	-6714.193	17.80139	73055.61	25.0156	0.995301	0.998795	1.0012	1.00471	4.768817
240	-6692.046	-6711.046	18.99977	66654.41	23.5158	0.995081	0.998738	1.00125	1.00493	4.737663
250	-6691.133	-6713.499	22.36587	16917.64	20.61581	0.990244	0.997487	1.00248	1.00979	4.54755
260	-6682.695	-6699.532	16.83739	43447.44	21.58799	0.993908	0.998436	1.00155	1.0061	4.831037
270	-6692.723	-6716.866	24.14266	87411.88	25.0308	0.995704	0.998899	1.00109	1.0043	4.515203
