"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-7.73670346305889,-5.16629747170979,-10.4735031424144,0,1,0,0
"Retention Index",1.80653367822911,4.10825542564166,-0.91205256246379,0.954091816367265,0.0459081836327345,0.0918163672654691,0.954091816367265
