"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-9.23031591443688,-6.56516872283684,-11.896772933824,0,1,0,0
"Retention Index",-21.5433335302655,-18.7384787367317,-23.8444972321292,0,1,0,0
