"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-24.5408241620333,-22.1998392254852,-26.6535712481956,0,1,0,0
"Retention Index",-32.0358653864903,-29.903948951224,-33.6619548913159,0,1,0,0
