"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",-3.56482403811994,-2.27650648108227,-5.02765492119835,0,1,0,0
"Retention Index",-9.01046636621125,-7.7460195497594,-10.156841369399,0,1,0,0
