"","Effect size","ES upper","ES lower","Lower-1-tailed","Upper-1-tailed","Two-tailed","Midpoint"
"Consistency Index",6.69234476689195,9.14595207781653,4.12233299484783,1,0,0,1
"Retention Index",3.72032955459945,6.47593866857488,1.2544618987385,1,0,0,1
