Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
55	1	-4107.172	-4119.287	12.11562	33648.48	20.64338	0.993079	0.998222	1.00176	1.00694	5.273202
56	0	-4100.218	-4107.252	7.033297	91963.34	20.292	0.995812	0.998926	1.00107	1.00419	5.522833
57	1	-4130.185	-4133.924	3.738968	61641.25	22.70175	0.994885	0.998688	1.0013	1.00512	5.61904
58	0	-4103.003	-4104.859	1.855972	72975.27	19.93216	0.995299	0.998794	1.0012	1.00471	5.784461
59	1	-4109.368	-4112.948	3.579748	26824.98	18.00498	0.99225	0.998007	1.00197	1.00777	5.691088
60	0	-4106.766	-4105.398	-1.367787	42944.25	16.85846	0.993873	0.998427	1.00156	1.00614	5.944187
61	1	-4088.953	-4104.475	15.52228	9859.924	22.91608	0.987228	0.996701	1.00324	1.01283	5.096757
62	0	-4118.639	-4122.347	3.707677	26229.44	20.01931	0.992162	0.997984	1.00199	1.00786	5.690539
63	1	-4103.543	-4110.447	6.903934	95890.13	19.52227	0.995898	0.998949	1.00105	1.00411	5.531264
64	0	-4103.099	-4109.51	6.410545	43637.04	20.32997	0.993922	0.998439	1.00155	1.00609	5.553167
65	1	-4092.922	-4103.929	11.00678	41141.58	23.44695	0.99374	0.998392	1.00159	1.00627	5.279787
66	0	-4094.026	-4104.793	10.76652	69421.04	23.63484	0.99518	0.998764	1.00123	1.00483	5.28455
67	1	-4084.598	-4098.715	14.11687	14054.38	23.15029	0.989298	0.997241	1.00272	1.01074	5.153512
68	0	-4115.426	-4123.458	8.032131	80578.13	18.6439	0.995526	0.998853	1.00114	1.00448	5.46174
69	1	-4104.989	-4115.835	10.84539	69171.99	19.43493	0.995171	0.998761	1.00123	1.00484	5.328146
70	0	-4103.049	-4106.649	3.59991	83040.57	20.71518	0.995592	0.99887	1.00112	1.00441	5.684257
71	1	-4092.833	-4108.781	15.94855	17080.43	18.39214	0.990291	0.997499	1.00247	1.00974	5.025286
72	0	-4099.802	-4115.305	15.50312	27293.13	20.41263	0.992316	0.998024	1.00195	1.0077	5.106894
73	1	-4105.588	-4111.158	5.570513	76314.64	19.05266	0.995402	0.998821	1.00117	1.00461	5.598101
74	0	-4111.521	-4113.381	1.85965	58248.93	21.45267	0.994738	0.99865	1.00134	1.00527	5.747358
75	1	-4096.213	-4103.259	7.046692	28943.54	17.61017	0.992538	0.998082	1.0019	1.00748	5.48402
76	0	-4108.424	-4120.149	11.72447	38499.31	21.84567	0.993529	0.998338	1.00165	1.00649	5.2827
77	1	-4096.581	-4103.187	6.605244	236.4891	18.87859	0.918596	0.977697	1.01989	1.08382	5.541815
78	0	-4108.152	-4115.489	7.336386	96620.85	20.2233	0.995914	0.998953	1.00104	1.00409	5.508337
79	1	-4069.916	-4081.814	11.89777	2.478146	22.70665	0.344375	0.697817	1.07838	1.87943	5.259544
80	0	-4102.811	-4113.481	10.67003	64391.65	23.30026	0.994995	0.998716	1.00128	1.00501	5.298302
81	1	-4043.774	-4059.405	15.63091	1.326427	22.89353	0.197222	0.556861	1.03836	2.20755	5.09237
82	0	-4110.827	-4117.119	6.291976	85023.12	19.5334	0.995644	0.998883	1.00111	1.00436	5.562624
83	1	-4044.019	-4053.166	9.146256	1.117825	18.85407	0.159846	0.509512	1.01708	2.31357	5.40672
84	0	-4102.899	-4114.934	12.03538	27133.24	17.96235	0.992294	0.998019	1.00196	1.00773	5.219414
