Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-4138.152	-4132.165	-5.986694	94213.29	18.5618	0.995862	0.998939	1.00105	1.00414	6.215167
10	-4125.332	-4122.859	-2.472803	35454.66	22.33709	0.993257	0.998268	1.00172	1.00676	5.910209
20	-4129.544	-4125.201	-4.343687	52328.16	16.68196	0.994449	0.998575	1.00141	1.00556	6.116292
30	-4111.566	-4113.505	1.939151	72791.67	16.45501	0.995293	0.998793	1.0012	1.00472	5.727522
40	-4099.871	-4110.487	10.61515	26430.16	18.72422	0.992192	0.997992	1.00199	1.00783	5.325446
50	-4115.857	-4121.377	5.519674	44474.62	22.44611	0.993979	0.998454	1.00153	1.00603	5.548969
60	-4116.937	-4118.318	1.380545	23002.78	22.61208	0.991632	0.997847	1.00213	1.00839	5.726636
70	-4134.784	-4130.556	-4.228639	25487.13	19.10868	0.992049	0.997955	1.00202	1.00797	6.111277
80	-4125.554	-4124.165	-1.388383	26280.89	17.04798	0.99217	0.997986	1.00199	1.00785	5.95119
90	-4133.266	-4131.634	-1.631853	10954.29	19.11634	0.987881	0.996872	1.00308	1.01217	5.975275
100	-4109.346	-4109.451	0.1049637	2128.249	16.02624	0.972583	0.992829	1.0069	1.02769	5.814394
110	-4132.859	-4132.759	-0.09959822	2442.487	15.6377	0.974399	0.993314	1.00645	1.02584	5.799563
120	-4112.798	-4116.704	3.906721	3414.188	17.11614	0.978331	0.99436	1.00547	1.02184	5.643674
130	-4116.248	-4119.15	2.901813	9147.81	15.97817	0.986741	0.996574	1.00336	1.01332	5.636202
140	-4097.908	-4106.567	8.659521	3914.091	18.85218	0.979756	0.994738	1.00512	1.02039	5.4325
150	-4096.088	-4103.893	7.804867	17615.05	19.23157	0.990439	0.997538	1.00243	1.00959	5.482898
160	-4109.194	-4118.131	8.93693	32726.31	19.92744	0.992982	0.998197	1.00179	1.00704	5.429198
170	-4121.833	-4122.037	0.2035097	75164.41	15.60488	0.995367	0.998812	1.00118	1.00464	5.777544
180	-4136.247	-4132.948	-3.298478	53108.64	19.03461	0.99449	0.998586	1.0014	1.00552	6.063913
190	-4133.057	-4134.558	1.500918	62135.86	19.90152	0.994905	0.998693	1.0013	1.0051	5.80278
200	-4116.477	-4119.811	3.334231	53001.43	22.10083	0.994484	0.998584	1.0014	1.00553	5.658408
210	-4099.983	-4109.91	9.927228	41322.07	22.5346	0.993754	0.998396	1.00159	1.00626	5.350533
220	-4094.106	-4105.17	11.06397	43745.47	21.89948	0.993929	0.998441	1.00155	1.00608	5.312082
230	-4094.966	-4103.392	8.426128	39511.37	21.95726	0.993613	0.998359	1.00163	1.0064	5.431273
240	-4098.652	-4107.592	8.94063	34338.92	21.39019	0.993149	0.99824	1.00174	1.00687	5.418283
250	-4110.007	-4116.16	6.153251	30073.7	21.468	0.99268	0.998118	1.00186	1.00734	5.546871
260	-4100.53	-4107.418	6.887207	62401.49	17.76729	0.994916	0.998696	1.0013	1.00509	5.499224
270	-4107.172	-4119.287	12.11562	33648.48	20.64338	0.993079	0.998222	1.00176	1.00694	5.273202
280	-4130.185	-4133.924	3.738968	61641.25	22.70175	0.994885	0.998688	1.0013	1.00512	5.61904
290	-4109.368	-4112.948	3.579748	26824.98	18.00498	0.99225	0.998007	1.00197	1.00777	5.691088
