Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
570	-4106.641	-4111.937	5.296287	87754.02	20.14441	0.995712	0.998901	1.00109	1.00429	5.610041
580	-4112.022	-4117.438	5.415294	62276.13	18.47331	0.994911	0.998694	1.0013	1.0051	5.599451
590	-4113.858	-4111.99	-1.867357	88255.33	18.50165	0.995725	0.998904	1.00109	1.00428	5.993552
600	-4119.639	-4124.694	5.055588	9359.301	19.75111	0.986892	0.996614	1.00333	1.01317	5.625116
610	-4109.327	-4115.007	5.679904	93340.74	18.74055	0.995843	0.998934	1.00106	1.00416	5.589234
620	-4116.948	-4121.929	4.980509	45731.47	19.64841	0.994062	0.998476	1.00151	1.00595	5.629402
630	-4115.694	-4114.898	-0.7958847	67371.2	18.0092	0.995107	0.998745	1.00125	1.0049	5.934144
640	-4105.718	-4107.332	1.614142	33682.94	18.20761	0.993083	0.998223	1.00176	1.00693	5.802937
650	-4114.242	-4120.864	6.621775	1906.849	19.78732	0.971043	0.992416	1.00728	1.02926	5.545765
660	-4112.871	-4115.364	2.493473	5098.594	22.13893	0.982255	0.995397	1.00449	1.01786	5.695094
670	-4115.508	-4124.753	9.244901	49931.97	21.56861	0.994317	0.998541	1.00145	1.00569	5.401219
680	-4110.806	-4110.958	0.1520216	98396.74	16.13227	0.995951	0.998962	1.00103	1.00406	5.818138
690	-4104.783	-4106.333	1.550219	50447.06	16.16561	0.994346	0.998549	1.00144	1.00566	5.733665
700	-4108.761	-4111.215	2.453036	44952.61	19.2658	0.994011	0.998462	1.00152	1.006	5.76102
710	-4100.699	-4110.716	10.01692	86908.79	21.31314	0.995692	0.998895	1.0011	1.00431	5.368962
720	-4122.874	-4129.583	6.709043	97908.37	17.09037	0.995941	0.99896	1.00103	1.00407	5.478553
730	-4115.348	-4121.179	5.831339	2387.401	17.70096	0.974106	0.993236	1.00652	1.02613	5.556354
740	-4113.829	-4122.698	8.868343	75629.62	22.80414	0.995382	0.998816	1.00118	1.00463	5.390279
750	-4118.028	-4114.565	-3.462452	46058.51	20.2239	0.994083	0.998481	1.00151	1.00593	6.042298
760	-4101.367	-4105.445	4.078085	66119.22	17.44907	0.995061	0.998733	1.00126	1.00495	5.647112
770	-4121.513	-4123.933	2.420118	64691.48	19.41696	0.995007	0.998719	1.00127	1.005	5.761792
780	-4097.007	-4104.4	7.393647	18991.98	15.99391	0.990792	0.997629	1.00234	1.00924	5.356569
790	-4107.826	-4117.145	9.319427	26253.17	20.03776	0.992166	0.997985	1.00199	1.00786	5.410251
800	-4117.165	-4111.024	-6.141153	68738.83	23.9463	0.995156	0.998758	1.00123	1.00485	5.98106
810	-4122.192	-4118.084	-4.107898	67934.7	20.25504	0.995127	0.99875	1.00124	1.00488	6.07315
820	-4116.961	-4122.511	5.550651	29340.64	19.94469	0.992589	0.998095	1.00189	1.00743	5.599015
830	-4122.093	-4127.405	5.312226	47370.1	19.26747	0.994166	0.998502	1.00149	1.00585	5.612617
840	-4108.667	-4116.258	7.590297	41097	16.31867	0.993737	0.998392	1.00159	1.00628	5.373133
850	-4093.029	-4110.62	17.59114	69297.88	18.84035	0.995176	0.998763	1.00123	1.00483	4.958203
860	-4103.928	-4113.081	9.15371	37946.35	17.84489	0.993482	0.998326	1.00166	1.00653	5.375026
870	-4096.578	-4111.873	15.29493	16980.8	19.42664	0.990262	0.997492	1.00247	1.00977	5.098981
880	-4109.279	-4117.406	8.127815	58547.76	22.2193	0.994752	0.998653	1.00134	1.00526	5.438621
890	-4111.931	-4114.247	2.316503	2490.654	20.99108	0.974646	0.99338	1.00639	1.02558	5.739281
900	-4112.92	-4112.42	-0.49945	3844.976	16.48019	0.979576	0.99469	1.00516	1.02057	5.876922
910	-4113.217	-4120.56	7.342838	27978.04	17.64858	0.992411	0.998049	1.00193	1.00761	5.468819
920	-4113.569	-4112.457	-1.112122	384.1597	18.00425	0.935913	0.9827	1.01581	1.06557	5.95167
930	-4089.149	-4082.981	-6.168315	11.38327	17.36916	0.652369	0.880413	1.06967	1.39755	6.23407
940	-4064.141	-4065.389	1.24805	1.522853	17.14013	0.228831	0.592317	1.05174	2.12712	5.799843
950	-4032.167	-4048.561	16.39385	1.475131	20.82802	0.221455	0.584364	1.04893	2.14525	5.067585
960	-4030.824	-4048.76	17.93624	0.7304759	20.06549	0.0807062	0.377561	0.935659	2.60607	4.980851
970	-4024.86	-4052.436	27.5759	0.7589947	23.49038	0.0868086	0.390086	0.944911	2.57819	4.5732
980	-4040.47	-4054.077	13.60755	0.9727871	24.74425	0.131493	0.468417	0.99534	2.40475	5.133315
990	-4042.926	-4061.765	18.83876	0.9727871	22.70542	0.131493	0.468417	0.99534	2.40475	4.953873
1000	-4035.799	-4042.091	6.292044	1.030532	19.09934	0.143005	0.485741	1.00488	2.36637	5.56063
1010	-4023.826	-4046.545	22.71984	0.8168964	21.41779	0.0991487	0.413849	0.961529	2.52547	4.774493
1020	-4042.493	-4053.55	11.05684	1.028343	19.98751	0.142574	0.485108	1.00454	2.36778	5.323235
1030	-4043.708	-4053.557	9.848885	1.186355	22.00712	0.172572	0.526398	1.02512	2.27591	5.365511
1040	-4052.229	-4063.447	11.21783	1.771555	18.37801	0.264392	0.628293	1.06306	2.04425	5.28199
1050	-4041.508	-4060.178	18.67042	0.8483316	28.2432	0.105794	0.425888	0.969497	2.49882	4.822495
1060	-4038.203	-4062.077	23.87358	0.8729364	26.23237	0.110958	0.434922	0.975282	2.47884	4.690986
1070	-4045.473	-4057.268	11.79498	1.141709	23.85181	0.164331	0.515562	1.02002	2.30009	5.234834
1080	-4049.007	-4055.719	6.711875	1.291654	18.8511	0.191271	0.549755	1.03542	2.22355	5.535797
1090	-4035.357	-4050.691	15.33387	1.419368	20.7761	0.212593	0.574561	1.04531	2.16753	5.118193
1100	-4059.273	-4062.744	3.470163	1.035023	21.93934	0.143889	0.487032	1.00557	2.36351	5.657561
1110	-4039.464	-4059.564	20.09942	0.8309094	20.82787	0.102117	0.419287	0.965165	2.51343	4.88967
1120	-4027.717	-4046.499	18.78237	1.50092	24.09468	0.225465	0.588709	1.05048	2.13535	4.937566
1130	-4040.501	-4061.362	20.86097	1.266862	21.23858	0.186961	0.544514	1.03319	2.23533	4.859284
1140	-4028.99	-4049.998	21.0085	0.7768482	20.50378	0.0906236	0.397643	0.950327	2.56141	4.839351
1150	-4025.449	-4056.183	30.73388	0.7742937	21.95112	0.0900781	0.396575	0.949569	2.56378	4.415162
1160	-4021.681	-4058.624	36.94249	0.7586999	24.58498	0.0867455	0.389959	0.94482	2.57848	4.189031
1170	-4030.079	-4055.442	25.36358	0.768583	20.18504	0.0888582	0.394171	0.947855	2.56912	4.615459
