Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-4148.84	-4149.322	0.4826188	18543.89	18.40499	0.990681	0.9976	1.00237	1.00935	5.866238
10	-4132.07	-4128.282	-3.788572	15732.26	15.1634	0.989884	0.997393	1.00257	1.01015	6.00098
20	-4132.344	-4130.793	-1.551409	23793.6	18.48236	0.991772	0.997883	1.00209	1.00825	5.976544
30	-4119.821	-4123.543	3.721827	31185.16	20.22736	0.992811	0.998152	1.00183	1.00721	5.687009
40	-4115.329	-4117.556	2.227213	57826.66	17.88892	0.994719	0.998645	1.00135	1.00529	5.764066
50	-4123.529	-4122.494	-1.03496	30374.74	17.07832	0.992716	0.998128	1.00185	1.0073	5.931333
60	-4122.377	-4123.878	1.500285	91684.37	23.41768	0.995805	0.998925	1.00107	1.0042	5.686562
70	-4127.839	-4125.939	-1.900793	41737.45	15.70681	0.993785	0.998404	1.00158	1.00623	5.919566
80	-4131.013	-4128.032	-2.98103	34697.83	17.06838	0.993184	0.998249	1.00173	1.00683	6.045066
90	-4152.544	-4150.451	-2.093871	95795.35	16.41578	0.995896	0.998948	1.00105	1.00411	5.970937
100	-4123.57	-4123.419	-0.1510888	87164.63	17.18942	0.995698	0.998897	1.0011	1.00431	5.882911
110	-4132.03	-4134.898	2.867732	29920.45	19.21281	0.992661	0.998114	1.00187	1.00736	5.739678
120	-4118.004	-4117.961	-0.04330501	31028.9	19.32477	0.992793	0.998148	1.00183	1.00723	5.889879
130	-4114.375	-4116.851	2.475694	13191.7	16.44056	0.988955	0.997152	1.00281	1.01109	5.694059
140	-4110.254	-4115.094	4.840055	22760.56	16.93467	0.991587	0.997835	1.00214	1.00844	5.580057
150	-4131.656	-4130.262	-1.394369	76531.23	17.98437	0.995409	0.998823	1.00117	1.0046	5.967223
160	-4111.601	-4115.189	3.587955	97703.76	17.7682	0.995936	0.998958	1.00104	1.00407	5.684941
170	-4131.407	-4127.987	-3.420542	40447.28	18.45119	0.993687	0.998379	1.00161	1.00633	6.077942
180	-4125.553	-4121.192	-4.36027	92691.96	18.7644	0.995828	0.998931	1.00106	1.00418	6.1246
190	-4114.515	-4117.071	2.555809	80895.09	17.71188	0.995534	0.998855	1.00114	1.00447	5.741674
200	-4126.43	-4123.514	-2.91563	18308.08	21.39709	0.990621	0.997585	1.00238	1.00941	5.97228
210	-4148.525	-4136.018	-12.50716	55926.08	16.73538	0.99463	0.998622	1.00137	1.00538	6.605516
220	-4131.096	-4130.278	-0.8179753	98982.56	15.61894	0.995963	0.998965	1.00103	1.00404	5.844078
230	-4124.046	-4121.981	-2.065099	92331.08	17.30975	0.99582	0.998928	1.00107	1.00419	5.996739
240	-4124.594	-4125.089	0.4957418	43447	19.08956	0.993908	0.998436	1.00155	1.0061	5.864187
250	-4136.366	-4136.598	0.2312063	10323.7	17.51472	0.987518	0.996777	1.00317	1.01254	5.869061
260	-4134.478	-4129.37	-5.107811	63230.63	18.83572	0.99495	0.998704	1.00129	1.00506	6.163098
270	-4140.308	-4132.638	-7.66962	50898.69	19.38411	0.994371	0.998555	1.00143	1.00564	6.282541
280	-4137.99	-4131.632	-6.357058	93021.46	16.51369	0.995835	0.998932	1.00106	1.00417	6.233202
290	-4125.136	-4119.842	-5.293917	66268.44	18.86399	0.995067	0.998735	1.00126	1.00494	6.172412
300	-4129.944	-4127.617	-2.327327	34415.27	16.56397	0.993157	0.998242	1.00174	1.00686	5.99113
310	-4123.47	-4126.661	3.190794	25323.3	21.83027	0.992024	0.997949	1.00203	1.008	5.673827
320	-4133.111	-4130.64	-2.470207	40717.9	20.59352	0.993708	0.998384	1.0016	1.00631	5.981456
330	-4111.698	-4114.748	3.049493	26881.82	19.97692	0.992258	0.998009	1.00197	1.00776	5.723995
340	-4127.943	-4122.15	-5.792947	50172.88	19.91407	0.994331	0.998545	1.00144	1.00568	6.168841
350	-4120.927	-4125.831	4.903964	60174.61	22.32194	0.994823	0.998672	1.00132	1.00519	5.58045
360	-4121.922	-4120.186	-1.73642	71334.7	20.5674	0.995245	0.99878	1.00121	1.00476	5.946657
370	-4130.271	-4127.244	-3.027426	21741.79	19.01872	0.991393	0.997785	1.00219	1.00863	6.049932
380	-4126.735	-4126.838	0.1029886	13122	16.57946	0.988925	0.997144	1.00281	1.01112	5.845131
390	-4107.631	-4109.972	2.340992	61780.16	18.15634	0.994891	0.998689	1.0013	1.00512	5.762306
400	-4125.988	-4126.389	0.401436	76606.91	18.72416	0.995411	0.998823	1.00117	1.0046	5.870928
410	-4112.192	-4121.825	9.63273	42944.98	20.06785	0.993873	0.998427	1.00156	1.00614	5.394676
420	-4129.461	-4128.894	-0.5664086	76546.78	16.2684	0.995409	0.998823	1.00117	1.0046	5.870307
430	-4126.762	-4131.349	4.58699	61983.83	20.225	0.994899	0.998691	1.0013	1.00511	5.644268
440	-4107.834	-4114.957	7.122367	7192.595	19.39958	0.985052	0.996132	1.00379	1.01503	5.519528
450	-4117.148	-4124.112	6.964155	78451.23	20.96092	0.995465	0.998837	1.00116	1.00454	5.518346
