Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
570	-4120.966	-4119.358	-1.607399	79871.37	19.2259	0.995506	0.998848	1.00115	1.0045	5.972402
580	-4131.304	-4131.835	0.5311491	78725.79	21.38181	0.995473	0.998839	1.00115	1.00453	5.811714
590	-4132.534	-4128.028	-4.50573	18770.74	16.46076	0.990738	0.997615	1.00235	1.00929	6.11938
600	-4125.04	-4123.9	-1.139891	43290.44	21.03273	0.993897	0.998433	1.00155	1.00612	5.902504
610	-4141.617	-4135.339	-6.277952	9183.131	18.56641	0.986767	0.996581	1.00336	1.0133	6.230772
620	-4118.252	-4123.866	5.614005	86762.05	19.38627	0.995688	0.998894	1.0011	1.00432	5.59726
630	-4128.205	-4126.184	-2.020779	80617.31	18.65518	0.995527	0.998853	1.00114	1.00448	6.000861
640	-4129.187	-4125.031	-4.155738	55023.55	19.20241	0.994586	0.998611	1.00138	1.00542	6.105468
650	-4120.241	-4122.207	1.965411	74080.68	18.36224	0.995334	0.998803	1.00119	1.00467	5.785298
660	-4138.522	-4136.553	-1.968758	79375	19.85291	0.995492	0.998844	1.00115	1.00452	5.978327
670	-4126.474	-4132.566	6.092413	54160.16	20.0235	0.994543	0.9986	1.00139	1.00547	5.57139
680	-4117.376	-4119.8	2.424057	18745.19	20.44923	0.990731	0.997613	1.00236	1.0093	5.746882
690	-4130.485	-4127.793	-2.6917	73428.01	18.7963	0.995313	0.998798	1.00119	1.00469	6.035306
700	-4137.269	-4130.785	-6.484188	55021.68	18.06831	0.994586	0.998611	1.00138	1.00542	6.249392
710	-4124.032	-4125.567	1.534564	13281.59	17.0701	0.988992	0.997161	1.0028	1.01105	5.780571
720	-4138.75	-4136.314	-2.436724	58727.42	17.95933	0.99476	0.998655	1.00133	1.00525	6.025095
730	-4122.99	-4125.291	2.30025	92408.2	20.79591	0.995822	0.998929	1.00106	1.00418	5.745045
740	-4127.984	-4131.737	3.752851	20988.54	18.56266	0.99124	0.997745	1.00223	1.00879	5.690467
750	-4141.637	-4136.588	-5.048897	42655.5	20.55196	0.993852	0.998421	1.00157	1.00616	6.108321
